Unnamed: 0,prix_eur,prix_m2,type_bien,surface_m2,nb_pieces,nb_chambres,etage,dpe,adresse,code_postal,url,latitude,longitude
11,280000,11041.0,Appartement à vendre,25.4,2.0,1.0,Étage 2/5,E,"La Fourche-Guy Môquet, Paris 17ème arrondissement (75017)",75017.0,https://www.seloger.com/annonces/achat/appartement/paris-17eme-75/la-fourche-guy-moquet/273208317.htm,48.892129,2.323169
12,265000,9464.0,Appartement à vendre,28.0,2.0,1.0,Étage 5/5,D,"Pernety, Paris 14ème arrondissement (75014)",75014.0,https://www.seloger.com/annonces/achat/appartement/paris-14eme-75/pernety/272538365.htm,48.834015,2.317962
13,1090000,13293.0,Appartement à vendre,82.0,3.0,2.0,Étage 6/6,F,"Chaillot, Paris 16ème arrondissement (75016)",75016.0,https://www.seloger.com/annonces/achat/appartement/paris-16eme-75/chaillot/272508967.htm,48.867149,2.297238
14,220000,7333.0,Appartement à vendre,30.0,2.0,1.0,Étage 1/3,E,"Danube-Porte des Lilas, Paris 19ème arrondissement (75019)",75019.0,https://www.seloger.com/annonces/achat/appartement/paris-19eme-75/danube-porte-des-lilas/272371827.htm,48.877773,2.407867
15,270000,10800.0,Studio à vendre,25.0,1.0,,Étage 4/8,D,"Grange Aux Belles-Terrage, Paris 10ème arrondissement (75010)",75010.0,https://www.seloger.com/annonces/achat/appartement/paris-75/272456385.htm,48.875426,2.367094
16,665000,10902.0,Appartement à vendre,61.0,3.0,2.0,Étage 1/5,D,"Saint Lambert, Paris 15ème arrondissement (75015)",75015.0,https://www.seloger.com/annonces/achat/appartement/paris-75/270889427.htm,48.837454,2.291961
17,190000,9201.0,Appartement à vendre,20.7,1.0,,Étage 3/6,G,"Jardin de Reuilly, Paris 12ème arrondissement (75012)",75012.0,https://www.seloger.com/annonces/achat/appartement/paris-12eme-75/jardin-de-reuilly/272300385.htm,48.844756,2.389791
18,514000,11422.0,Appartement à vendre,45.0,2.0,1.0,Étage 1/6,E,"Legendre-Lévis, Paris 17ème arrondissement (75017)",75017.0,https://www.seloger.com/annonces/achat/appartement/paris-17eme-75/legendre-levis/271255605.htm,48.8875,2.319812
19,2640000,30698.0,Appartement à vendre,86.0,5.0,2.0,Étage 7/7,E,"Ecole Militaire, Paris 7ème arrondissement (75007)",75007.0,https://www.seloger.com/annonces/achat/appartement/paris-7eme-75/ecole-militaire/238937003.htm,48.854375,2.305786
20,1550000,10616.0,Appartement à vendre,146.0,5.0,3.0,Étage 5/7,D,"Auteuil Nord, Paris 16ème arrondissement (75016)",75016.0,https://www.seloger.com/annonces/achat/appartement/paris-16eme-75/auteuil-nord/269423701.htm,48.850098,2.278011
21,550000,9649.0,Appartement à vendre,57.0,3.0,2.0,RDC/3,E,"Montsouris Dareau, Paris 14ème arrondissement (75014)",75014.0,https://www.seloger.com/annonces/achat/appartement/paris-14eme-75/montsouris-dareau/264725413.htm,48.823621,2.334207
22,399000,7389.0,Appartement à vendre,54.0,2.0,1.0,RDC/6,D,"La Chapelle-Marx Dormoy, Paris 18ème arrondissement (75018)",75018.0,https://www.seloger.com/annonces/achat/appartement/paris-18eme-75/la-chapelle-marx-dormoy/272113145.htm,48.88751,2.359421
23,735000,10352.0,Appartement à vendre,71.0,3.0,2.0,Étage 10/10,E,"Belleville-Saint Maur, Paris 11ème arrondissement (75011)",75011.0,https://www.seloger.com/annonces/achat/appartement/paris-11eme-75/belleville-saint-maur/272153849.htm,48.864419,2.378024
24,289800,11592.0,Appartement à vendre,25.0,1.0,,Étage 5/7,E,"Montsouris Dareau, Paris 14ème arrondissement (75014)",75014.0,https://www.seloger.com/annonces/achat/appartement/paris-14eme-75/montsouris-dareau/271668177.htm,48.823621,2.334207
25,749000,10122.0,Duplex à vendre,74.0,3.0,2.0,Étage 2/7,F,"Aligre-Gare de Lyon, Paris 12ème arrondissement (75012)",75012.0,https://www.seloger.com/annonces/achat/appartement/paris-12eme-75/aligre-gare-de-lyon/271330221.htm,48.8491,2.371086
26,1130000,11649.0,Appartement à vendre,97.0,4.0,3.0,Étage 3/6,D,"Sentier-Bonne Nouvelle, Paris 2ème arrondissement (75002)",75002.0,https://www.seloger.com/annonces/achat/appartement/paris-2eme-75/sentier-bonne-nouvelle/260958853.htm,48.870036,2.350218
27,1200000,15584.0,Appartement à vendre,77.0,3.0,2.0,Étage 5/7,E,"Rennes, Paris 6ème arrondissement (75006)",75006.0,https://www.bellesdemeures.com/272563083/detail.htm,48.848878,2.32856
28,678000,12327.0,Appartement à vendre,55.0,3.0,2.0,Étage 5/6,D,"Ternes-Maillot, Paris 17ème arrondissement (75017)",75017.0,https://www.seloger.com/annonces/achat/appartement/paris-17eme-75/ternes-maillot/272226313.htm,48.881115,2.288716
